,id,product,cost,company
0,1,Liners - Baking Cups,6.36,Skipfire
1,2,Nori Sea Weed - Gold Label,85.74,Dynazzy
2,3,Bar Bran Honey Nut,65.4,Ntag
3,4,Soup - Campbells Beef Stew,68.16,Photojam
4,5,Wine - Shiraz Wolf Blass Premium,87.39,Eare
5,6,"Wine - White, Riesling, Semi - Dry",99.22,Livepath
6,7,Brandy - Bar,13.83,Oloo
7,8,Onions - White,42.19,Oozz
8,9,Lettuce - Baby Salad Greens,30.01,Meevee
9,10,Sambuca - Ramazzotti,88.99,Livepath
10,11,Coffee - Decafenated,21.47,Meezzy
11,12,Lamb Leg - Bone - In Nz,42.56,Photofeed
12,13,Lettuce - Spring Mix,19.9,Twitterworks
13,14,Cookies Oatmeal Raisin,99.4,Dynabox
14,15,Cookies Oatmeal Raisin,14.13,Vitz
15,16,Sausage - Chorizo,55.45,Unknown
16,17,Glaze - Apricot,33.78,Browsezoom
17,18,Squid Ink,56.33,Aibox
18,19,"Loaf Pan - 2 Lb, Foil",22.83,Brainsphere
19,20,Bagel - Everything Presliced,87.05,Trunyx
20,21,Bagel - Whole White Sesame,90.48,Realcube
21,22,Scotch - Queen Anne,60.26,Unknown
22,23,Puree - Blackcurrant,16.27,Zoombox
23,24,"Bread - Bagels, Plain",31.26,Vitz
24,25,Snapple Raspberry Tea,73.7,Innojam
25,26,Sour Puss - Tangerine,84.2,Skinder
26,27,Spaghetti Squash,47.41,Unknown
27,28,"Wine - Niagara,vqa Reisling",28.24,Unknown
28,29,Iced Tea Concentrate,59.23,Photolist
29,30,Fuji Apples,22.96,Cogibox
30,31,Wine - Carmenere Casillero Del,55.77,Ntag
31,32,Container Clear 8 Oz,92.33,Muxo
32,33,Duck - Legs,82.22,Voonder
33,34,Muffin Hinge Container 6,99.54,Skyble
34,35,Pie Box - Cello Window 2.5,95.68,Linkbuzz
35,36,Bread - English Muffin,13.83,Quatz
36,37,Chocolate - Sugar Free Semi Choc,61.99,Realpoint
37,38,Pate - Peppercorn,21.98,Mynte
38,39,Triple Sec - Mcguinness,37.45,Oodoo
39,40,Pepper - Cubanelle,79.31,Cogibox
40,41,Squash - Acorn,65.35,Meemm
41,42,Sauce - Demi Glace,87.51,Wordware
42,43,Pail For Lid 1537,40.69,Edgeclub
43,44,Foam Tray S2,30.67,Jabbersphere
44,45,Shark - Loin,45.77,Thoughtstorm
45,46,Aromat Spice / Seasoning,61.34,Unknown
46,47,Tobasco Sauce,48.32,Browsezoom
47,48,"Apple - Delicious, Golden",36.67,Skiba
48,49,Lamb - Rack,62.6,Gevee
49,50,Silicone Paper 16.5x24,63.98,Babbleopia
50,51,Ecolab - Power Fusion,75.32,Fliptune
51,52,"Soup - Knorr, Country Bean",98.74,Eimbee
52,53,"Chicken - Thigh, Bone In",74.06,Topiclounge
53,54,"Plate - Foam, Bread And Butter",37.79,Flipstorm
54,55,Beef - Bresaola,8.55,Digitube
55,56,Peach - Fresh,20.53,Zazio
56,57,Muffin Hinge - 211n,68.63,Fanoodle
57,58,Bar Bran Honey Nut,73.05,Yakijo
58,59,"Nut - Almond, Blanched, Whole",74.28,Eazzy
59,60,Table Cloth 90x90 Colour,41.22,Quinu
